rxn	MGYG000000076	MGYG000005177	MGYG000049266	MGYG000073722	MGYG000082523	MGYG000111157	MGYG000142005	MGYG000164457	MGYG000167059	MGYG000241626	MGYG000258880	MGYG000278633
EX_cpd01354_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01399_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01618_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01663_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01861_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01981_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd02733_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd03047_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd03198_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd03246_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd03247_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd03662_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd03808_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd04097_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd04098_e0	0	0	0	0	1	0	0	0	0	0	0	0
EX_cpd08021_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd10515_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd10516_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd11416_c0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd11574_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd11632_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd11640_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd11976_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd15494_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd15560_e0	1	1	1	0	1	1	1	0	1	1	0	0
EX_cpd15561_e0	1	1	1	0	1	1	1	0	1	1	0	0
EX_cpd23430_e0	0	0	1	1	0	0	0	0	0	0	0	0
EX_cpd23431_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90001_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90003_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90004_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90005_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90006_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90007_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90008_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90020_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90021_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90022_e0	1	1	1	1	1	1	1	1	1	1	1	1
bio1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00001_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00002_c0	1	1	0	0	1	1	1	1	1	1	1	1
rxn00003_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00006_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00010_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00011_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00016_c0	1	1	0	1	0	0	0	0	1	0	1	0
rxn00020_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00022_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00029_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00048_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00060_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00062_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00076_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00077_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00085_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00088_c0	1	1	0	0	1	0	0	0	1	0	0	0
rxn00097_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00100_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00102_c0	0	0	0	0	0	1	0	0	0	0	0	1
rxn00103_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00104_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00105_c0	0	0	0	1	0	0	0	0	0	0	0	0
rxn00106_c0	1	1	1	1	1	1	1	1	1	1	1	1
