rxn	MGYG000001400	MGYG000010774	MGYG000011610	MGYG000015707	MGYG000016015	MGYG000081522	MGYG000106282	MGYG000112701	MGYG000120427	MGYG000153712	MGYG000186345	MGYG000201534	MGYG000213768	MGYG000224645	MGYG000232768	MGYG000246156	MGYG000263537	MGYG000270783
EX_cpd00082_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00084_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00092_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00098_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00099_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00104_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00105_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00106_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00108_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00116_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00118_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00119_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00121_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00122_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00129_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00130_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00132_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00133_e0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
EX_cpd00137_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00138_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00141_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00149_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00150_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00153_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00154_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00156_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00158_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00161_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00178_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00179_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00185_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00204_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00205_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00208_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00210_e0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EX_cpd00220_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00222_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00224_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00239_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00244_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00254_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00264_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00268_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00276_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00277_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00281_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00305_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00309_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00311_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00314_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00324_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00359_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00363_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00366_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00371_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00393_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00396_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00418_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00448_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00450_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00453_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00526_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00528_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00531_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00540_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00644_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00659_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00751_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00794_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00811_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00832_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00949_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00971_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01012_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01024_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01030_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01132_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01262_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01318_e0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1
EX_cpd01354_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01399_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01618_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01663_e0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EX_cpd01861_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01981_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd02733_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd03047_e0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1
EX_cpd03198_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
EX_cpd03246_e0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EX_cpd03247_e0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1
EX_cpd03662_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd03724_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd03808_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd04097_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd08021_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd10515_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd10516_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd11416_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd11574_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd11632_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd11640_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd11976_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd15494_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd23430_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd23431_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90003_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90004_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90005_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90006_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90007_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90008_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90020_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd90022_e0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
bio1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00001_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00003_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00006_c0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rxn00010_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00011_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00016_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00020_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00022_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00029_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00060_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00062_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00070_c0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	0	0
rxn00077_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00085_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00086_c0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1
rxn00097_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00100_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00102_c0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rxn00104_c0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
rxn00105_c0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00106_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00107_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00113_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00117_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00119_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00122_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00126_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00127_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00132_c0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1
rxn00137_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00138_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00139_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00143_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00147_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00148_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00154_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00157_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00165_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00171_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00173_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00174_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00175_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00176_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00178_c0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
rxn00179_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00182_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00184_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00187_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00189_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00190_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00192_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00193_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00196_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00198_c0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0
rxn00199_c0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	0
rxn00203_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00204_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00205_c0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00211_c0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1
rxn00213_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00214_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00216_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00222_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00224_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00225_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00226_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00237_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00238_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00239_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00242_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00247_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00256_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00260_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00262_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00269_c0	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	0
rxn00272_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00278_c0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00283_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00292_c0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
rxn00293_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00295_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00297_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00299_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00302_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00303_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00304_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00313_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00337_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00338_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00340_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00342_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00351_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00358_c0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
rxn00360_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00364_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00365_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00368_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00369_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00392_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00401_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00405_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00409_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00410_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00411_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00412_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00414_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00416_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00425_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00426_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00427_c0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rxn00430_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00438_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00442_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00453_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00456_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00459_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00460_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00461_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00469_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00474_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00483_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00490_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00493_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00499_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00500_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00505_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00506_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00512_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00515_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00517_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00527_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00533_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00536_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00537_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00541_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00543_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00545_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00546_c0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
rxn00547_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00549_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00551_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00552_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00554_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
