rxn	MGYG000000074	MGYG000006284	MGYG000006869	MGYG000006906	MGYG000030607	MGYG000063312	MGYG000072808	MGYG000140008	MGYG000148481	MGYG000233340
rxn00184_c0	1	0	1	1	1	1	1	1	1	1
rxn00187_c0	1	0	1	1	1	1	1	1	1	1
rxn00189_c0	1	1	1	1	1	1	1	1	1	1
rxn00190_c0	1	0	1	1	1	1	1	1	1	1
rxn00192_c0	1	1	1	1	1	1	1	1	1	1
rxn00193_c0	1	1	1	1	1	1	1	1	1	1
rxn00194_c0	1	0	1	1	1	1	1	1	1	1
rxn00196_c0	1	0	1	1	1	0	1	1	1	1
rxn00202_c0	1	1	1	1	1	1	1	1	1	1
rxn00203_c0	1	0	1	1	1	1	1	1	1	1
rxn00204_c0	1	0	1	1	1	1	1	1	1	1
rxn00206_c0	1	1	1	1	1	1	1	1	1	0
rxn00208_c0	1	0	1	1	1	1	1	1	1	1
rxn00209_c0	1	0	1	1	1	1	1	1	1	1
rxn00211_c0	1	0	1	1	1	1	1	1	1	1
rxn00212_c0	1	1	1	1	1	1	1	1	1	1
rxn00213_c0	0	1	0	0	0	0	0	1	0	0
rxn00214_c0	1	1	1	1	1	1	1	1	1	1
rxn00216_c0	1	1	1	1	1	1	1	1	1	1
rxn00222_c0	1	0	1	1	1	1	1	1	1	1
rxn00224_c0	1	1	1	1	1	1	1	1	1	1
rxn00225_c0	1	0	1	1	1	1	1	1	1	1
rxn00226_c0	1	0	1	1	1	0	1	1	1	1
rxn00239_c0	1	0	1	1	1	1	1	1	1	1
rxn00242_c0	1	0	1	1	1	1	1	1	1	1
rxn00247_c0	1	1	1	1	1	1	1	1	1	1
rxn00248_c0	1	0	1	1	1	1	1	1	1	1
rxn00250_c0	1	0	1	1	1	1	1	1	1	1
rxn00256_c0	1	0	1	1	1	1	1	1	1	1
rxn00260_c0	1	1	1	1	1	1	1	1	1	1
rxn00262_c0	1	0	1	1	1	1	1	1	1	1
rxn00272_c0	0	0	0	0	0	0	1	1	0	0
rxn00273_c0	1	0	1	1	1	1	1	1	1	1
rxn00274_c0	1	0	1	1	1	1	1	1	1	1
